warlock	witch
arete	ridge
bribe	payment
monogamist	spouse
world	homo
shark	wrongdoer
escutcheon	plate
stereo	photograph
mud	soil
iodine-131	radioisotope
ninth	rank
specimen	example
incandescence	luminosity
bier	rack
transmission	communication
nighthawk	goatsucker
joke	wit
eagle	score
concurrence	cooperation
bondsman	benefactor
least	matter
treasure	possession
outline	plan
stamp	symbol
righteousness	morality
conduit	passage
refusal	message
settlement	agreement
hierarchy	series
smarta	brahman
passion	feeling
entomology	zoology
vitriol	acid
farce	comedy
beanbag	bag
notoriety	infamy
squama	scale
crocheting	handicraft
blues	depression
ethnocentrism	partiality
hardwood	wood
dinoflagellate	flagellate
vision	experience
futurology	discipline
position	point
bough	limb
trimmer	machine
harness	support
defroster	heater
dough	concoction
coldness	vasoconstrictor
tag	label
catchment	structure
portico	porch
fitness	suitability
model	leader
sequin	adornment
gluten	protein
preschooler	child
endorphin	peptide
forest	vegetation
assignment	undertaking
roads	anchorage
satyr	pervert
homeless	unfortunate
wits	intelligence
sickbay	room
wildcatter	oilman
header	jump
potshot	shooting
settling	sinking
alertness	arousal
fishery	workplace
hemlock	wood
panel	body
self-analysis	psychotherapy
colloid	mixture
chemist	scientist
lullaby	song
streptococcus	eubacteria
explosion	noise
laterite	soil
pollution	impurity
wild	state
chestnut	tree
greaves	residue
adjustment	calibration
clubbing	symptom
acclaim	approval
palatinate	district
schmuck	jerk
particular	proposition
openness	spacing
lecithin	phospholipid
bunker	hazard
credibility	quality
transvestism	practice
abuser	wrongdoer
ethology	zoology
jointure	estate
tanka	poem
grace	gracefulness
distance	region
foxhole	bunker
parodist	humorist
acoustician	physicist
paddle	oar
orrery	planetarium
couture	dressmaking
equerry	attendant
directive	pronouncement
neediness	quality
flamethrower	weapon
pellet	ball
mozzarella	cheese
conductor	collector
fresco	painting
bundle	package
simplification	explanation
patchwork	theory
sleeper	terrorist
coiner	forger
variable	thing
cloudberry	raspberry
sledding	sport
swad	bunch
opinion	judgment
chorion	sac
permutation	transformation
oddness	parity
damsel	maid
hoard	store
receptor	structure
hydration	association
excavator	workman
draw	run
filming	photography
comprehensibility	quality
segregate	person
pusher	criminal
ball	plaything
bug	defect
pythium	fungus
origin	source
information	accusation
forbearance	delay
background	view
yardie	gangster
crime	transgression
elastic	fabric
counterterrorism	scheme
blackwood	wood
mischief	misbehavior
parts	environment
sycophancy	obsequiousness
hedger	gardener
pole	end
carcinogen	substance
payroll	sum
jog	locomotion
sampling	measurement
parsonage	residence
crazy	lunatic
jammer	transmitter
slippage	decline
roadster	car
rotgut	alcohol
incumbent	holder
stretch	straightaway
armoire	wardrobe
commute	journey
chlorofluorocarbon	pollutant
nebula	cloud
frustum	solid
footplate	platform
end	lineman
chain	business
steel	alloy
interviewee	respondent
cattleman	stockman
sucker	shoot
fellow	man
gearbox	shell
teak	wood
chapter	section
jewelweed	herb
roulade	tune
category	concept
modification	copy
cornice	framework
doorkeeper	guard
harshness	roughness
stuff	nonsense
salesgirl	salesperson
kit	gear
firmness	strength
matron	nurse
whacker	thing
exposure	influence
compositor	printer
switch	hairpiece
turnout	part
weakling	person
toy	device
warden	lawman
all-rounder	expert
morsel	taste
puff	recommendation
crossbench	seat
streak	succession
voicing	adjustment
spike	rise
geophysicist	geologist
moderation	degree
caution	judiciousness
rescue	recovery
band	stripe
publican	bartender
pinhead	head
stock	lumber
siren	salamander
belch	expulsion
mallee	eucalyptus
asset	quality
line	text
contrast	scope
contractor	party
fire	attack
saiga	antelope
swamp	situation
nylon	polyamide
inaccessibility	inconvenience
legging	garment
credit	title
carbine	rifle
itraconazole	antifungal
intentionality	deliberation
inactivity	act
neoprene	rubber
urn	vase
firmware	code
evacuee	migrant
potpourri	perfume
coaster	mover
cafe	restaurant
macromolecule	molecule
cardamom	herb
command	authority
enticement	influence
impetuousness	impulsiveness
beginning	happening
shopping	commodity
demiurge	deity
partita	variation
quintessence	example
anxiousness	anxiety
cruiser	warship
haft	handle
bullock	cattle
oceanographer	scientist
barbershop	shop
workload	employment
smiley	emoticon
drag	clothing
statue	sculpture
scale	bit
pruning	trim
ford	crossing
figment	idea
gas	fluid
mainmast	mast
oca	oxalis
sucker	drinker
architrave	molding
nasturtium	herb
splitsville	dissolution
nonagenarian	oldster
pillbox	case
sheikdom	domain
hanging	execution
duress	force
colchicine	analgesic
electrification	exploitation
knockoff	copy
germination	growth
scaffold	platform
tartlet	tart
family	unit
meaningfulness	significance
mukataa	headquarters
sponge	invertebrate
rentier	investor
sled	vehicle
theism	religion
pigmentation	deposition
gurgle	sound
suprematist	abstractionist
handover	relinquishment
slap	blow
population	integer
advocate	lawyer
puff	pastry
noma	ulcer
infanticide	murderer
mikado	emperor
coordinator	organizer
bonito	tuna
catenary	curve
edaphosaurus	synapsid
vowel	phone
eventuality	happening
moderation	decrease
cleat	projection
convert	person
time	attribute
resident	inhabitant
incorrectness	quality
lithograph	duplicator
page	attendant
feedback	answer
handyman	repairman
baker	merchant
relay	race
henbane	herb
stalk	gait
arabesque	decoration
libel	complaint
prisoner	unfortunate
specialization	adaptation
slowness	pace
canyon	ravine
intolerance	impatience
fight	conflict
connivance	approval
canape	appetizer
balance	structure
slippage	decrease
landside	component
run	locomotion
spur	projection
majolica	earthenware
reburying	burying
center	class
gentile	person
spray	jet
goldeneye	duck
python	spirit
incrimination	accusation
blood	people
scorch	burn
grade	ablaut
emitter	electrode
marzipan	candy
pitch	throw
uptick	transaction
redpoll	finch
cobweb	fabric
gulch	gorge
rally	feat
bimetallism	standard
dredger	barge
consecration	commitment
heterozygote	zygote
gymkhana	meet
impartiality	inclination
round	helping
distortion	mistake
butcher	merchant
mem	letter
cremation	incineration
hypokalemia	symptom
charity	foundation
immunogen	antigen
volvulus	pathology
narcoterrorism	terrorism
plastid	granule
shag	fabric
flip-flop	somersault
knot	sandpiper
staining	dyeing
nonfeasance	dereliction
managership	position
self-defense	protection
singsong	intonation
re-establishment	restoration
neutrophil	leukocyte
safety	condition
pajama	trouser
choirmaster	musician
betrothed	lover
nudism	practice
exploitation	use
detail	gang
scan	examination
coordination	timing
swastika	emblem
buttermilk	milk
increase	amount
wordsmith	writer
castle	chessman
mate	singleton
hideousness	ugliness
guardianship	duty
agon	celebration
self-government	autonomy
porte-cochere	entrance
orgy	rite
subpopulation	population
riot	violence
doxorubicin	antibiotic
yesterday	day
salivation	secretion
bubble	globule
rush	flow
urge	motivation
goffer	frill
pizzicato	music
importer	businessperson
weakening	decrease
conservatory	greenhouse
entitlement	title
mix	combining
hack	writer
spit	expulsion
read	publication
osteoarthritis	arthritis
epilogue	conclusion
dixie	pot
statistician	calculator
quintuplet	sibling
callowness	immaturity
farmhouse	house
savage	primitive
pageant	representation
mambo	dancing
rumen	stomach
byssus	fiber
skylight	window
transporter	crane
backbone	connection
homogenization	blend
coonhound	hound
echolocation	localization
great-nephew	nephew
dip	angle
scholar	student
raffle	lottery
representation	body
scan	picture
enormousness	largeness
understatement	statement
picture	representation
mobilization	assembly
penetration	attack
madame	dame
crackpot	eccentric
buildup	promotion
founder	originator
dismissal	permission
scherzo	movement
registrar	official
yeoman	freeholder
freebie	gift
crockery	tableware
bowl	vessel
octopus	seafood
taxation	imposition
celerity	pace
riding	sport
intestacy	situation
fieldstone	rock
cheroot	cigar
play	use
entertainer	person
asthmatic	person
aquavit	liquor
valediction	farewell
hostility	unfriendliness
principle	value
spinner	maker
chlorite	mineral
tetrode	tube
colonnade	structure
kingdom	domain
capuchin	cloak
abrasion	wound
ulema	body
fruitcake	cake
sop	morsel
fire	combustion
sophism	fallacy
topology	topography
landgrave	count
nautilus	submarine
inulin	polysaccharide
sheriff	lawman
filing	submission
cost	outgo
exosphere	layer
square	number
colitis	inflammation
operation	activity
film	wrapping
sunbeam	beam
diaphragm	disk
benignity	good
gammon	bacon
radiometer	meter
beading	molding
secessionism	doctrine
watershed	line
paintball	capsule
hardback	book
icepick	pick
watermelon	melon
echidna	monotreme
culverin	cannon
board	fare
graze	eating
gristmill	mill
rosewood	wood
carbonyl	compound
butch	lesbian
mintmark	mark
serenade	song
columbarium	recess
suffering	pain
leader	person
sidelight	light
observer	expert
fishnet	net
bong	sound
indemnity	exemption
harvestman	arachnid
percolator	coffeepot
ostomy	operation
pantheist	believer
banquet	meal
stunt	animal
roaster	critic
formation	arrangement
indulgence	permissiveness
oblique	case
scenario	script
homonym	word
ayah	domestic
ethnography	anthropology
leaker	informant
boulle	embellishment
impurity	waste
veterinarian	doctor
court-martial	trial
parameter	constant
kibitzer	meddler
taro	root
fustian	fabric
liftoff	rise
postmistress	postmaster
casting	fishing
dispersion	spread
atropine	poison
concordance	index
discard	abandonment
urease	enzyme
barbecue	cookout
endodontics	dentistry
telling	informing
mineralogy	geology
jockey	horseman
beehive	receptacle
playbook	book
ecstasy	bliss
circus	arena
amendment	statement
hinge	joint
intercept	point
baptism	sacrament
permafrost	land
pokeweed	herb
arrival	traveler
stymie	obstacle
wayfaring	travel
antagonism	hindrance
visit	meeting
tremor	earthquake
aggravation	aggression
voodoo	cult
mastering	education
sign	clue
ghat	stairway
atonement	damages
game	score
shirking	evasion
bastille	jail
structuralism	theory
superannuation	dismissal
halyard	rope
intimidation	fear
brooding	parturition
soldier	worker
banter	repartee
purpose	goal
philanthropy	aid
turbidity	cloudiness
trio	gathering
jet	airplane
housefly	fly
locomotion	motion
substrate	stratum
erection	structure
destroyer	warship
wool	fabric
don	head
organic	fertilizer
payback	return
incision	cut
heavyweight	wrestler
credits	list
delight	pleasure
collection	grouping
headmistress	principal
wineglass	glass
strain	nervousness
tipster	adviser
dip	candle
edge	superiority
annexation	acquisition
epicondyle	process
stagnation	inaction
cotillion	ball
enamel	compound
yaw	turning
coin	coinage
scission	cut
curtain	barrier
impoundment	seizure
enzyme	catalyst
rhyme	versification
guesser	person
takeaway	maneuver
heads-up	warning
house	play
hawthorn	shrub
topsoil	soil
prang	crash
impunity	exemption
flatness	dullness
creepiness	touch
trichloroethylene	ethylene
sensitizer	activator
calibration	activity
wardenship	position
royalty	payment
smuggling	importing
day	time
deal	transaction
coarctation	narrowing
overage	assets
shahadah	witness
vegetable	herb
plaque	spot
atavism	recurrence
aquarium	vivarium
lander	spacecraft
chondrite	rock
revisionist	communist
stopping	playing
decimation	destruction
etymology	history
splenomegaly	hypertrophy
obliviousness	forgetfulness
roan	horse
liveryman	employee
banner	flag
egg	foodstuff
excavation	artifact
synchronization	adjustment
kea	parrot
boorishness	discourtesy
answer	reaction
disinclination	dislike
inula	herb
lighterage	transportation
promoter	advertiser
desire	feeling
tenantry	collection
corporation	firm
butane	fuel
enzymology	biochemistry
cranium	bone
by-product	product
curtsy	gesture
communism	socialism
lexicographer	compiler
hint	suggestion
idealist	visionary
ectoparasite	parasite
stratification	placement
hussar	cavalryman
steeper	vessel
relief	comfort
company	organization
ogre	giant
quintet	set
fullness	property
woodcutter	laborer
casualness	informality
mesh	catch
no-show	guest
seaport	port
design	sketch
varix	abnormality
veracity	truthfulness
lacquerware	work
louse	insect
imposition	burden
drip	projection
joinery	woodwork
sima	rock
mezzo-soprano	soprano
flyover	flight
singles	badminton
airlift	transportation
botanical	drug
rawhide	hide
tier	layer
candor	honesty
consonance	harmony
boldface	font
hayfield	grassland
sequence	film
corner	monopoly
selvage	edge
prominence	importance
curiosa	book
intolerance	attitude
counterbalance	compensation
menace	threat
fire	fireplace
prompter	device
crash	mishap
dictate	rule
tor	rock
leaven	imponderable
transgression	wrongdoing
smokehouse	house
torrent	current
hypnotherapy	psychotherapy
chivalry	courtesy
dialogue	script
avoidance	rejection
linebacker	back
firmness	hardness
straddle	option
boot	torture
mandola	mandolin
visitor	traveler
positivity	quality
grenade	bomb
squall	wind
virulence	hostility
clang	noise
wildfowl	bird
viscounty	domain
accent	pronunciation
glory	beauty
toggle	instruction
landholding	ownership
jury	committee
juice	current
redraft	draft
autobahn	expressway
coincidence	accident
buzzword	nonsense
relish	taste
supremacism	belief
paraphilia	perversion
vaginismus	contraction
bantamweight	boxer
standby	thing
course	direction
preterist	theologian
hollowness	emptiness
picnic	meal
wrongdoing	activity
crust	covering
girlhood	childhood
eigenvalue	value
malocclusion	disorder
wading	walk
comb	crest
decoder	machine
leaf	sheet
joker	comedian
oppression	depression
fatwa	opinion
values	belief
rester	person
price	reward
churchyard	yard
bugle	bead
pusher	dealer
devise	inheritance
moralism	maxim
discipline	trait
aster	structure
transsexual	person
praetorship	position
line	differentiation
manta	ray
oracle	shrine
thirteenth	rank
omicron	letter
lethargy	torpor
neoliberalism	liberalism
roller	cylinder
polarity	opposition
harmonics	acoustics
school	body
guidepost	rule
loneliness	isolation
sick	people
plasminogen	plasmin
ransom	cost
businessperson	capitalist
slice	share
fetter	shackle
ascot	cravat
radiochemistry	chemistry
myoclonus	spasm
cowpea	legume
falsification	determination
inconvenience	discomfort
clip	cut
tradespeople	people
adder	viper
realist	painter
matting	covering
micelle	particle
anagram	word
granary	storehouse
check-in	arrival
canine	carnivore
tarpaulin	canvas
symbolizing	figuration
indictment	accusation
legume	climber
cinnabar	mineral
snorter	thing
thickening	condensing
magician	performer
dash	run
indirection	procedure
encomium	praise
pity	misfortune
position	attitude
ready-to-wear	clothing
mixed-blood	person
patroness	patron
lecturer	speaker
raphe	ridge
stabilizer	airfoil
depth	abasement
naturalness	likeness
breaststroker	swimmer
pluralist	cleric
rapeseed	oilseed
cohesiveness	viscosity
paraffin	wax
juju	charm
pichi	shrub
pinna	leaflet
accounting	system
leg	support
nipple	cap
watchband	band
announcement	statement
planetarium	building
endive	herb
fly	hit
absolutist	disciple
trill	articulation
racer	car
vagabond	object
anthem	song
lapin	rabbit
topper	worker
chance	risk
fence	trader
benchmark	standard
omission	disregard
nature	trait
fundraiser	affair
pieta	representation
rondelet	rondeau
chord	note
asterisk	character
device	instrumentality
attachment	connection
jack	ass
undercoat	seal
cerise	red
pince-nez	spectacles
packing	enclosure
distance	size
engagement	contact
histamine	amine
tape	strip
amendment	correction
spillover	consequence
carotenoid	antioxidant
diversion	attack
inessential	thing
waxing	application
grey	clothing
jitters	nervousness
aim	goal
lipase	enzyme
approval	message
bastard	variation
photoemission	emission
crumpet	cake
scoop	ladle
landscaping	garden
psychologist	scientist
escapology	discipline
sip	swallow
stylization	standardization
adulteration	impurity
backache	ache
chicle	gum
senate	legislature
waning	decrease
pottery	workshop
turgor	state
figure	percept
doorknob	knob
purification	purge
inpatient	patient
cover	fire
camber	alignment
ashtray	receptacle
cassava	root
finisher	racer
clematis	climber
aerie	habitation
streptomyces	actinomycete
soundman	technician
dewlap	skin
daemon	deity
parallelepiped	prism
tenor	direction
destruction	ending
neck	cut
tulle	net
basileus	ruler
heartstrings	compassion
immanence	presence
shellfire	shooting
basilica	church
dilation	discussion
one	unit
carrot	reward
anticonvulsant	medicine
gib	tom
regulation	rule
mismatch	counterpart
nobility	elite
drawbridge	bridge
restoration	artifact
monochrome	painting
weightlifter	athlete
croton	shrub
bumper	glass
grove	garden
memorabilia	record
kerosene	hydrocarbon
commissary	shop
moviegoer	spectator
cybercrime	crime
plate	sheet
boiling	cooking
dysphoria	depression
pulley	machine
associate	peer
cereal	grass
disulfiram	medicine
bleat	cry
promotion	encouragement
blackjack	bludgeon
accord	compatibility
noradrenaline	catecholamine
torero	bullfighter
crunch	situation
verticillium	fungus
activeness	trait
isotope	atom
jasmine	shrub
silene	flower
conflagration	fire
hardware	component
radiation	spread
shortgrass	grass
sightseeing	look
gunsmith	smith
smoke	aerosol
braggadocio	boast
prescription	direction
grounder	hit
cellulosic	plastic
screwball	pitch
bung	plug
keen	dirge
fielder	ballplayer
glass	container
liturgist	authority
colony	place
hardship	misfortune
fog	atmosphere
cupbearer	attendant
mammoth	elephant
mycoplasma	eubacteria
exhibitor	showman
agape	love
mineral	material
motherhood	kinship
chink	sound
arbor	framework
flare	effusion
binder	harvester
head	projection
explication	explanation
bennet	avens
baggage	materiel
ascendant	dominance
acetaldehyde	aldehyde
sprawl	position
toner	material
rigatoni	pasta
fad	fashion
key	explanation
hyperglycemia	symptom
gnat	mosquito
tropism	reaction
wing	helping
suture	seam
caravansary	hostel
rotogravure	photojournalism
turning	formation
edition	group
empathy	sympathy
hand	applause
telemark	turn
side	aspect
strangulation	disorder
solution	set
rejuvenation	restoration
familiar	servant
perseverance	continuance
win	victory
stir	agitation
sluggishness	pace
gestation	construction
playing	action
playlist	list
mammal	vertebrate
pumpkinseed	sunfish
bacteriophage	virus
sagebrush	subshrub
evasion	commerce
stepson	stepchild
sincerity	truthfulness
gestalt	form
linden	tree
approach	motion
seaward	direction
pawn	borrowing
topaz	mineral
contempt	discourtesy
hatchway	entrance
bludgeon	club
masdevallia	orchid
commonwealth	state
heifer	cow
knuckleball	pitch
antiseptic	medicine
firedamp	gas
subtraction	decrease
colonialism	exploitation
bitch	canine
daphne	shrub
pouch	sac
sloppiness	untidiness
ilium	bone
bock	lager
tout	advertiser
transom	crosspiece
viscountess	wife
sunglasses	spectacles
self-education	education
certification	authorization
breeziness	storminess
slowdown	delay
panting	fabric
cochlea	tube
disembowelment	removal
randomization	organization
craze	crack
psychometry	psychology
marcher	inhabitant
contrariness	unruliness
opposition	body
catheter	tube
cackle	laugh
titillation	arousal
sermon	address
avocet	shorebird
consecration	sanctification
domestic	servant
entrapment	defense
cuddle	embrace
bowling	game
acetone	solvent
tuberosity	process
drone	bee
philodendron	liana
line	shape
shock	surprise
warner	communicator
bluing	dye
cryonics	cryobiology
head	pressure
sulfonate	salt
floor	room
groomsman	attendant
relish	condiment
mafia	clique
aunt	kinswoman
dissuasion	discouragement
pseudobulb	enlargement
receding	disappearance
wisent	bison
head	top
ringlet	ring
apathy	feeling
ante	stake
solo	flight
historiography	literature
scale	standard
molter	animal
commerce	transaction
monad	one
mash	feed
bourn	boundary
rangpur	citrus
neighborliness	friendliness
tolerance	allowance
lipid	macromolecule
functionalist	supporter
endowment	capital
favor	inclination
curd	foodstuff
fastidiousness	cleanliness
pit	excavation
cohesion	growth
flowerbed	bed
clipping	excerpt
chiropractor	therapist
metallurgy	science
replay	repetition
bass	part
bouncer	guard
knock	criticism
taenia	headband
rubric	title
careerist	professional
commerce	conversation
defiance	intractability
bicentennial	anniversary
incompleteness	integrity
level	place
aromatherapy	therapy
solo	activity
hybrid	organism
liabilities	possession
recompense	correction
attachment	support
appraiser	critic
genuflection	bow
varus	deformity
enjoyment	pleasure
taffeta	fabric
stipulation	restriction
geneticist	biologist
teddy	plaything
makeweight	weight
viscount	peer
change	coin
chowder	soup
square	conservative
whereabouts	location
consultation	conference
bang	noise
teething	growth
bunting	finch
chapter	assembly
scattering	shower
vanisher	person
pharmacopoeia	collection
defender	preserver
document	writing
forge	furnace
custody	imprisonment
skimming	removal
cup	hole
tolu	balsam
articulator	communicator
overthrow	termination
peonage	subjugation
brush	touch
burnup	race
drenching	wetting
beating	fight
trash	rabble
wyvern	dragon
attack	degeneration
memo	note
eighteenth	rank
pallium	cloak
bobwhite	quail
hibernation	dormancy
deepness	depth
directness	characteristic
matricide	parricide
sidesaddle	saddle
flagging	collection
comforts	support
ear	fruit
router	device
punch	tool
gig	hook
depository	facility
forge	workplace
waterproofing	coating
marketing	shopping
keloid	scar
chemosynthesis	synthesis
curate	clergyman
hypoglycemia	symptom
specification	document
yoke	support
spline	strip
stroke	motion
stepbrother	brother
quarterly	series
capsule	structure
microeconomics	economics
rate	charge
mimicry	imitation
brocade	fabric
phenomenon	development
planchette	board
canto	section
mailer	person
piece	case
whetstone	stone
wristband	band
march	progress
gracefulness	carriage
bluster	gust
statistician	mathematician
threshold	beginning
wattle	framework
terrorism	terror
bandsman	musician
odalisque	concubine
powder	toiletry
concussion	blow
plenum	meeting
underbelly	bottom
fug	fog
tortoiseshell	nymphalid
vomit	expulsion
auctioneer	agent
endemic	disease
parcel	allotment
saddlebag	bag
attachment	addition
snaffle	bit
chasuble	vestment
ironweed	herb
junk	boat
minicar	car
mainsail	sail
salutatorian	scholar
rift	opening
legend	story
decimalization	change
thrombolytic	pharmaceutical
inmate	resident
decoding	cryptography
showman	booker
mime	actor
bull	investor
confidence	security
race	contest
airworthiness	soundness
flattery	compliment
meatus	passage
cinchona	tree
chichi	dresser
misconception	idea
formaldehyde	gas
top	plaything
stenosis	pathology
lift	aid
lugger	boat
straightener	device
blaster	workman
collider	accelerator
thinness	dimension
masterpiece	accomplishment
walk-in	victory
idolatry	worship
slack	looseness
union	happening
bluejacket	serviceman
ectoplasm	cytoplasm
lamb	innocent
nonconformism	practice
chloride	halide
economy	action
shame	feeling
primality	property
bushman	pioneer
cardinalate	clergy
frivolity	trait
artilleryman	serviceman
butter	food
zeta	letter
neologism	word
presentment	charge
reputation	notoriety
castration	neutering
rockrose	helianthemum
scribble	handwriting
leaseholder	tenant
mother-in-law	mother
witness	perceiver
proboscis	nose
boyishness	masculinity
mark	evaluation
pointillist	painter
bullfinch	finch
chantry	chapel
blankness	emptiness
mescaline	hallucinogen
spearmint	mint
semimonthly	series
bracket	support
rusticity	awkwardness
grogginess	unconsciousness
organza	fabric
screed	strip
colors	emblem
finial	decoration
deputation	organization
handout	announcement
tapper	eavesdropper
foot	walk
raffia	fiber
bevy	flock
circumspection	discretion
baby	fetus
humanity	humaneness
foundation	support
workday	weekday
rib	support
retailing	selling
maxi	skirt
render	stucco
wildness	unruliness
great-niece	niece
grinding	friction
inspiration	intuition
stuff	kernel
dinky	locomotive
fertilizer	chemical
retrieval	memory
noncombatant	serviceman
miscarriage	failure
defenestration	ejection
tabor	drum
undercarriage	framework
abomination	person
canary	finch
profession	occupation
embryologist	specialist
self-deception	misconception
vinyl	group
logistics	provision
ricotta	cheese
rubric	category
breakdown	collapse
inflation	explosion
tapering	lowering
battering	fight
redistribution	distribution
lead	advantage
mouthpiece	aperture
ballplayer	athlete
pressure	force
dispenser	container
eagle	coin
election	status
sombrero	hat
buster	horseman
ardor	eagerness
chain	necklace
economy	system
gross	sum
sameness	quality
lapwing	plover
lightning	flash
discovery	insight
persuader	communicator
dismount	discontinuance
lifeblood	force
memoir	autobiography
tattle	disclosure
cuticle	skin
wisteria	vine
abruptness	gradient
vigilante	volunteer
yard	tract
collective	enterprise
stag	buck
fusil	musket
busywork	work
character	trait
record	fact
yips	tension
grenadier	infantryman
commiseration	sympathy
palace	mansion
blackmailer	criminal
gametophyte	plant
piracy	highjacking
care	repair
magma	rock
box	seat
facsimile	copy
inlay	filling
span	distance
abstinence	self-discipline
starets	adviser
project	plan
chantry	endowment
curlew	shorebird
inamorata	woman
signor	man
neem	tree
marking	decoration
customs	duty
governor	control
plate	crust
confidence	secret
effusion	expression
goatee	beard
deck	packet
decagon	polygon
ski	runner
sphericity	roundness
godparent	patron
plenipotentiary	diplomat
morrow	day
merrymaking	celebration
maharani	princess
appellant	litigant
stayer	animal
escapologist	magician
coloratura	singing
ideality	quality
boatyard	place
movement	action
licensee	retailer
jadeite	mineral
cistern	reservoir
amyloid	starch
replay	repeat
stonecutter	quarryman
contribution	publication
limbus	structure
interdict	prohibition
tiramisu	dessert
ilmenite	mineral
gallantry	courtesy
pinon	pine
armiger	squire
amazon	woman
ambiance	environment
amniote	vertebrate
rafter	beam
instability	unsteadiness
bracer	tonic
constituent	voter
percussion	music
enteritis	inflammation
leave	permission
run-time	run
deceiver	wrongdoer
radio	broadcasting
conscientiousness	conscience
digester	autoclave
inkblot	smudge
washhouse	laundry
sealer	official
lactobacillus	eubacteria
product	consequence
prominence	standing
legibility	comprehensibility
stiffness	awkwardness
elution	extraction
joss	idol
competitiveness	aggressiveness
mean	average
mallow	shrub
sandpiper	shorebird
giggle	laugh
jig	device
isometry	equality
smudge	fire
ratafia	liqueur
sweet	taste
education	learning
bearing	support
oppression	subjugation
shoveler	worker
opera	theater
sutler	supplier
ambassadress	ambassador
rationalization	simplification
realization	sale
ratafia	macaroon
amplitude	abundance
kink	person
peg	holder
leverage	advantage
protohistory	archeology
pinata	plaything
construction	thinking
cytoskeleton	structure
puffing	smoke
swing	motion
parley	negotiation
fullness	condition
corn	kernel
company	unit
deduction	allowance
blend	neologism
propane	gas
dishonesty	wrongdoing
water	liquid
divot	turf
documentation	validation
gate	gross
rebozo	scarf
neck	part
phrasing	grouping
loin	cut
cash	currency
picturesqueness	expressiveness
foot	bottom
infirmity	unfitness
honeypot	protea
copywriter	employee
remittance	payment
knickknack	article
corolla	coil
mollie	topminnow
chandlery	candle
pointillism	genre
abhorrence	disgust
transpose	matrix
whitehead	blemish
means	capital
subject	message
shell	housing
bitumen	hydrocarbon
photoelectron	electron
kylix	cup
freshness	originality
review	proceeding
collar	brim
deal	board
anklet	sock
disproof	evidence
poseur	exhibitionist
intervenor	party
depression	push
cinquefoil	carving
legs	stamina
lyric	text
venison	game
scratch	handicap
victim	unfortunate
quarter	clemency
bearer	messenger
jitter	movement
nigella	flower
presidency	tenure
drumlin	drift
marksmanship	skill
corrugation	ridge
panopticon	prison
tollgate	gate
interplay	interaction
scopolamine	alkaloid
displacement	rejection
bijou	jewelry
rift	crack
web	trap
immortelle	everlasting
flugelhorn	brass
quaintness	unfamiliarity
firelight	light
oxidoreductase	enzyme
blastocyst	blastula
forestry	biology
annulment	dissolution
technique	method
foramen	opening
cleavage	area
pettiness	meanness
ectrodactyly	abnormality
badness	intensity
cashmere	fabric
roast	cut
noisemaker	device
equality	status
fennel	herb
giveaway	gift
